"product","RMSE","MAE"
"FOODS_3_252",20.0673602821858,16.6924265842349
"FOODS_3_120",19.7814443123127,16.6191949744067
"FOODS_3_090",19.1193142077895,15.7269632737175
"FOODS_3_580",18.09786125411,7.02997350408479
"FOODS_3_635",17.8275755356423,13.2403032310297
"FOODS_3_444",16.8338794451028,15.4993514915694
"FOODS_3_404",16.8100399405283,13.6925737837639
"FOODS_3_586",16.7873223908074,13.6568042982262
"FOODS_3_804",16.7438540918924,13.6323875763598
"FOODS_3_150",15.8833848043988,14.4215426510635
"FOODS_3_295",15.7254853394898,9.97333848531685
"FOODS_3_767",15.1313458483464,10.4687568999779
"FOODS_3_555",14.9098146198082,12.6160852285273
"FOODS_3_202",14.763840254333,11.605321262972
"FOODS_3_086",14.1607846122384,8.31568778979907
"FOODS_3_501",14.0469192650473,9.95125855597262
"FOODS_3_681",13.6674754663984,9.33964451313756
"FOODS_3_808",13.5098383815903,12.3860675645838
"FOODS_3_772",12.9411975505336,11.0869765216751
"FOODS_3_541",12.9021773223325,10.4506513579157
"FOODS_3_234",12.4935051840607,8.82142857142857
"FOODS_3_030",11.7774240883826,9.58801152312011
"FOODS_3_752",11.4725000766446,6.84307583957299
"FOODS_3_377",11.4519149148597,9.093692500184
"FOODS_3_376",11.2429204404244,9.83090454110547
"FOODS_3_462",11.2311630992164,9.34575329358946
"FOODS_3_455",11.1962564526572,8.22495244134432
"FOODS_3_800",11.0051727276813,9.73307205416943
"FOODS_3_319",10.950713210402,9.31347979686465
"FOODS_3_498",10.4177622101277,5.45629343629344
"FOODS_3_711",10.4040791729139,6.0563244047619
"FOODS_3_694",9.56409291352167,7.08649812320601
"FOODS_3_451",9.48480750232642,6.62849065312717
"FOODS_3_117",9.28819914767067,8.34409729888864
"FOODS_3_714",9.15844027515446,6.40936189004195
"FOODS_3_811",8.86060572262819,5.77470427661511
"FOODS_3_660",8.84014393594144,7.0373702804151
"FOODS_3_499",8.8069579427835,8.10383597883598
"FOODS_3_313",8.70790475680127,7.18184382757842
"FOODS_3_008",8.65328746928515,5.63497453310696
"FOODS_3_282",8.45571757803697,7.75945683802134
"FOODS_3_362",8.43146281819082,7.85874704491726
"FOODS_3_329",8.1442249971893,6.67579805297713
"FOODS_3_607",8.11178194241196,6.556096566718
"FOODS_3_524",8.08372509300333,6.10819165378671
"FOODS_3_099",7.96024152653894,6.86275668488698
"FOODS_3_785",7.79915803181597,6.71025612718039
"FOODS_3_064",7.67344097706964,4.98214285714286
"FOODS_3_454",7.61452055747772,4.80037546933667
"FOODS_3_516",7.51628776382426,6.77301875602343
"FOODS_3_370",7.42289869961078,6.50318640467339
"FOODS_3_349",7.35401332447097,6.38597291951925
"FOODS_3_587",7.34708826373419,5.64285714285714
"FOODS_3_007",6.76405841128851,6.03488628836388
"FOODS_3_389",6.47202988835121,5.44615017499205
"FOODS_3_547",6.46979476445064,6.20821373371605
"FOODS_3_723",6.12827126897985,4.85714285714286
"FOODS_3_363",6.0798671179253,4.1911201884154
"FOODS_3_782",6.03149814397416,4.86220284095091
"FOODS_3_136",6.01840549471723,4.71748730404063
"FOODS_3_109",6.01476702035218,5.1481011260764
"FOODS_3_594",5.71343206116217,3.67857142857143
"FOODS_3_757",5.61358128121809,4.6499227202473
"FOODS_3_227",5.60331927624941,4.18664900272319
"FOODS_3_226",5.59313246888877,3.9391145948333
"FOODS_3_764",5.5379714480227,4.94336469423124
"FOODS_3_503",5.52276170485821,4.42704613095238
"FOODS_3_135",5.34685332904864,4.21052631578947
"FOODS_3_080",5.32965269272368,4.51672554647825
"FOODS_3_461",5.28979658974797,4.23169205858541
"FOODS_3_572",5.28601705915851,4.53297269448738
"FOODS_3_348",5.15361810199538,4.09645249135203
"FOODS_3_671",5.13755977821994,1.59069330978141
"FOODS_3_441",5.09292049212905,5.04979618306467
"FOODS_3_024",5.00810453662703,3.92602667602668
"FOODS_3_412",4.9826677922102,4.37816746235769
"FOODS_3_491",4.91472354260318,4.07989254434386
"FOODS_3_151",4.87180489785788,3.80619342018106
"FOODS_3_654",4.79910941960833,3.85982526057633
"FOODS_3_682",4.7665330490354,4.3692093136066
"FOODS_3_702",4.72887999104752,4.11051004636785
"FOODS_3_076",4.70807793596113,3.79986384043571
"FOODS_3_070",4.64793701613502,3.54336952543614
"FOODS_3_747",4.46440804962925,2.03100940975192
"FOODS_3_530",4.45773279763408,3.52274500243784
"FOODS_3_321",4.44940441946325,3.59715330373466
"FOODS_3_399",4.41736726526666,4.19025746781652
"FOODS_3_741",4.36714252832976,3.10927795031056
"FOODS_3_688",4.34337211852591,3.97361626958964
"FOODS_3_816",4.27930614439065,3.61563561594851
"FOODS_3_263",4.26652279285819,3.45330094943696
"FOODS_3_809",4.26440182998585,3.89494280553883
"FOODS_3_233",4.23763037717989,3.94400543276948
"FOODS_3_406",4.19983782595152,3.07142857142857
"FOODS_3_744",4.18786264215017,3.30987340840509
"FOODS_3_664",4.18691913227641,3.23570324574961
"FOODS_3_614",4.17318015317611,2.74459041731066
"FOODS_3_195",4.13036415583676,4.06890822194011
"FOODS_3_133",4.08203061915914,2.92548023846324
"FOODS_3_511",4.06087622649831,3.15651629072682
