"product","RMSE","MAE"
"FOODS_3_090",26.8411674541874,20.3845679934284
"FOODS_3_586",24.0206717432062,20.4140840863266
"FOODS_3_555",21.1225806875333,17.9094727802255
"FOODS_3_120",20.9337267097924,17.9353493222106
"FOODS_3_804",19.1124039975272,13.8979538496005
"FOODS_3_252",17.4859723968529,14.8164065417071
"FOODS_3_444",16.5530149340118,14.7608511039819
"FOODS_3_635",13.7773131207527,13.7773131207527
"FOODS_3_808",13.6868792472556,13.6868792472556
"FOODS_3_070",13.3687981267025,6.69160104986877
"FOODS_3_377",12.8307966685251,10.4617093570308
"FOODS_3_541",12.2070047046524,12.2070047046524
"FOODS_3_202",12.1986017367841,9.02118960495855
"FOODS_3_376",11.5960987586688,10.8114031812411
"FOODS_3_234",11.2948180253899,8.14691943127962
"FOODS_3_150",10.5758198550029,9.32682398625943
"FOODS_3_811",10.3885010182955,7.12942375393737
"FOODS_3_455",10.0600452403941,8.07101355713363
"FOODS_3_723",10.0599098880239,8.14401463669629
"FOODS_3_008",9.64868386906095,6.0295652173913
"FOODS_3_702",9.52841910437455,7.68708460906579
"FOODS_3_319",9.45739675901725,9.45739675901725
"FOODS_3_800",9.35775778166465,8.3773429915615
"FOODS_3_587",9.34053790504723,7.54068030766933
"FOODS_3_785",9.17419957047735,7.25593682323949
"FOODS_3_117",8.93396572597156,7.45159062056605
"FOODS_3_681",8.91017417098502,7.2069300276305
"FOODS_3_660",8.9043703188808,8.07361287431857
"FOODS_3_694",8.8687203129383,7.13367186916586
"FOODS_3_547",8.69225657761857,7.34553058024046
"FOODS_3_462",8.6614516432388,8.22296691807931
"FOODS_3_451",8.43853866795695,6.05885339373584
"FOODS_3_030",8.33153670503495,7.07330235347025
"FOODS_3_714",8.06734969795469,6.64295048913449
"FOODS_3_313",7.73589326009077,6.2186569443384
"FOODS_3_809",7.55567285357951,5.58997463039104
"FOODS_3_136",7.53239693151819,4.88380255395415
"FOODS_3_362",7.51282752942458,6.50284908483941
"FOODS_3_370",7.41277833258458,6.21359801943884
"FOODS_3_109",7.38822022752993,6.95801284444776
"FOODS_3_333",7.17805743692703,5.79219096965211
"FOODS_3_607",7.01304841218529,6.01570137415844
"FOODS_3_498",6.96343799462771,4.68245256390152
"FOODS_3_801",6.95577874264362,5.17000527148129
"FOODS_3_752",6.93202110707148,5.30888437523509
"FOODS_3_064",6.89109328389194,4.25840918084685
"FOODS_3_474",6.68936198284651,6.4952751528627
"FOODS_3_654",6.43206587607214,4.63628229069406
"FOODS_3_652",6.37150523194287,3.9939480809046
"FOODS_3_086",6.29880871711667,4.7151071615264
"FOODS_3_282",6.18082168724109,4.59774248682524
"FOODS_3_580",6.12140655433369,5.20689268911956
"FOODS_3_389",6.11435988680719,4.73333333333333
"FOODS_3_263",6.10828962099367,5.10464117690986
"FOODS_3_154",6.00235961341346,5.61685086998731
"FOODS_3_711",5.93483410179839,5.25672002416188
"FOODS_3_007",5.7768498294672,4.98276827720111
"FOODS_3_772",5.52739278972,4.38841386005526
"FOODS_3_227",5.44390125643018,4.35714285714286
"FOODS_3_349",5.40069031805287,4.27335907335907
"FOODS_3_318",5.32892164262934,3.88070345754611
"FOODS_3_441",5.18626155878468,5.18626155878468
"FOODS_3_688",5.18539076624306,4.11996218758646
"FOODS_3_757",5.18172284737701,4.11037263833918
"FOODS_3_499",5.17592021852476,3.78775122216187
"FOODS_3_135",5.13114333742622,4.22815533980583
"FOODS_3_572",5.09422122586535,3.74843178254051
"FOODS_3_628",5.05820393408307,2.79161377044284
"FOODS_3_024",5.03944020356234,5.03944020356234
"FOODS_3_080",5.03144697912087,4.18555373011724
"FOODS_3_412",4.94395858450628,4.12065258040389
"FOODS_3_682",4.94165315899743,3.99329192546584
"FOODS_3_767",4.93047569262938,4.93047569262938
"FOODS_3_454",4.88218544162612,4.11883530482257
"FOODS_3_461",4.75278462133558,3.56513703233515
"FOODS_3_348",4.70781613310275,3.71428571428571
"FOODS_3_813",4.65580744913892,2.68313953488372
"FOODS_3_574",4.65551473560603,3.8190389067284
"FOODS_3_530",4.59215525891411,3.69393080823143
"FOODS_3_741",4.53473853650638,3.37772061733281
"FOODS_3_151",4.44803057610407,3.43798073332835
"FOODS_3_195",4.4079575596817,4.4079575596817
"FOODS_3_566",4.34232779011853,2.21769339706143
"FOODS_3_329",4.32575290536767,3.28901366056958
"FOODS_3_671",4.31575088922765,1.98825703830931
"FOODS_3_147",4.27980008161641,2.75986295681063
"FOODS_3_491",4.2619364537659,3.70627660368904
"FOODS_3_295",4.23661051050775,3.27329923082667
"FOODS_3_076",4.19371788548915,3.39127025614219
"FOODS_3_363",4.1669653447911,3.79839071017848
"FOODS_3_404",4.12023000522739,4.12023000522739
"FOODS_3_281",4.09377399260759,2.85421975715785
"FOODS_3_511",4.07816571343292,3.224350263292
"FOODS_3_816",4.07057769434357,3.77092811646952
"FOODS_3_764",4.06371503294314,3.71403405754551
"FOODS_3_501",3.94259030560468,3.29038159958181
"FOODS_3_782",3.92669650238863,3.04430214323053
"FOODS_3_524",3.88447464715107,3.88447464715107
"FOODS_3_557",3.88357873305933,3.18490316172819
"FOODS_3_570",3.86368091044945,3.35977859778598
"FOODS_3_399",3.8553493613681,3.29183215887252
"FOODS_3_516",3.83715797464562,2.80997517490409
"FOODS_3_458",3.82599042351491,3.17857142857143
"FOODS_3_226",3.82391433288089,3.20147860503323
"FOODS_3_324",3.82034103526898,2.6431931894556
"FOODS_3_185",3.71780069905336,2.71185273595299
"FOODS_3_406",3.71346904670474,2.75707564782316
"FOODS_3_744",3.6893352217377,2.86162347845568
"FOODS_3_756",3.64787588956091,2.89896198939586
"FOODS_3_228",3.62756222581662,3.04499290568292
"FOODS_3_237",3.58108980051902,3.28611077223374
"FOODS_3_787",3.56235222251249,2.56287466568293
"FOODS_3_525",3.5553812082585,3.00738038683407
"FOODS_3_133",3.48364150026226,2.57381823612874
"FOODS_3_526",3.47769417137029,3.03026286311702
"FOODS_3_321",3.4156097750306,2.8068882337175
"FOODS_3_099",3.40144858999057,2.70412981561985
"FOODS_3_446",3.36084761169122,3.19160256888955
"FOODS_3_015",3.35767516013905,1.88905370454891
