"product","RMSE","MAE"
"FOODS_3_586",70.9645007166087,69.117920198526
"FOODS_3_090",63.7972144794863,61.002083720138
"FOODS_3_252",51.3717074414702,47.7046748120286
"FOODS_3_377",39.657857121453,38.08878884327
"FOODS_3_202",31.0658410810074,29.1124623084727
"FOODS_3_555",27.987287362658,26.006450119106
"FOODS_3_804",26.0266475889717,23.4687135858272
"FOODS_3_444",24.3188234376712,22.3028451606382
"FOODS_3_714",23.7112553309917,22.224140138185
"FOODS_3_120",23.4561386491057,14.8354294701041
"FOODS_3_030",23.4116634599456,20.3560179198582
"FOODS_3_694",22.8714224128018,21.6431205528788
"FOODS_3_150",22.1103289789066,21.0847249720577
"FOODS_3_587",21.3751901967626,20.1383171385364
"FOODS_3_681",20.2177071036001,15.9334334961408
"FOODS_3_580",19.3540002285471,7.69389747699129
"FOODS_3_295",19.3058622409872,13.3240513409985
"FOODS_3_404",18.9860455356196,14.7943459356225
"FOODS_3_234",17.6954342861684,13.5349915632379
"FOODS_3_455",17.6913936918098,15.6032424856095
"FOODS_3_501",17.5453721214937,12.3618240823931
"FOODS_3_086",17.4256583635119,11.6674035933377
"FOODS_3_767",17.1405542028495,11.6838853730566
"FOODS_3_635",17.1269950009507,7.06225688076223
"FOODS_3_376",17.0411115378972,13.2308989902711
"FOODS_3_723",16.2187843636751,15.1267876111865
"FOODS_3_462",14.7511458107735,10.4817524144343
"FOODS_3_800",14.7138520896321,13.7292977527971
"FOODS_3_752",14.2344737884341,8.96353516149783
"FOODS_3_389",14.1238626127981,13.0117715621981
"FOODS_3_811",14.0937813153225,11.0241839130072
"FOODS_3_607",13.8892531098851,11.4771011998001
"FOODS_3_772",13.6970355863797,11.9054179998165
"FOODS_3_711",12.9593233603955,8.3980914336587
"FOODS_3_541",12.7747585285663,6.43840979491023
"FOODS_3_226",12.318620248384,11.5824324543073
"FOODS_3_313",12.2203404079083,11.1842744599442
"FOODS_3_785",12.1737543627444,11.2450687323219
"FOODS_3_808",11.7374173034573,5.85212902378854
"FOODS_3_498",11.6768988061118,6.80427503546097
"FOODS_3_117",11.2383897173068,10.4716149549435
"FOODS_3_370",10.8990577651741,9.75183692357797
"FOODS_3_136",10.5679386804493,9.32424431444018
"FOODS_3_319",10.5421696535276,5.32227031188141
"FOODS_3_227",10.4024032462187,9.60074366969701
"FOODS_3_349",9.78131543203691,8.3403318726078
"FOODS_3_451",9.69659159505859,6.82645339047584
"FOODS_3_660",9.65166026006347,7.99474986272398
"FOODS_3_008",9.62619615935483,6.49503032398017
"FOODS_3_524",9.57247469882502,6.83708175074676
"FOODS_3_080",9.35973531573222,8.28132902900781
"FOODS_3_109",8.91696069436145,6.79046571135428
"FOODS_3_064",8.8196602235767,5.53340325978586
"FOODS_3_329",8.65295634264986,5.25082632427946
"FOODS_3_135",8.54577847194754,7.35905948208018
"FOODS_3_782",8.50834168585567,7.48333459165205
"FOODS_3_454",8.04823075819,3.67759602903388
"FOODS_3_362",8.04095616548527,5.70093179409591
"FOODS_3_572",8.00341563753637,7.30903610648745
"FOODS_3_516",7.92656281563411,5.51254726926827
"FOODS_3_458",7.80452518082809,6.99207153007412
"FOODS_3_363",7.77791705855367,5.96072476208013
"FOODS_3_503",7.69503440599519,6.70634282610772
"FOODS_3_007",7.63681391858038,4.80004586083258
"FOODS_3_757",7.50743948100564,6.63666490267137
"FOODS_3_744",7.37374066466299,6.59629305003572
"FOODS_3_348",7.31346218975569,5.88461379270338
"FOODS_3_511",7.04873673941092,6.1763106234529
"FOODS_3_318",7.024143027978,6.13355305125781
"FOODS_3_461",6.8220469582727,5.9974074506781
"FOODS_3_263",6.73780782633532,6.22864459479741
